InitialDatetime;FinalDatetime;EntityId;EntityType;Magnitude;MagnitudeValue;MagnitudeUnits
2023-06-05 02:00:00;2023-06-05 02:15:00;5;point_of_consumption;energy;71.0;kWh
2023-06-05 02:15:00;2023-06-05 02:30:00;1;battery;power;0.0;kW
2023-06-05 02:15:00;2023-06-05 02:30:00;1;battery;state_of_charge;100.0;%
2023-06-05 02:15:00;2023-06-05 02:30:00;2;battery;power;0.0;kW
2023-06-05 02:15:00;2023-06-05 02:30:00;2;battery;state_of_charge;100.0;%
2023-06-05 02:15:00;2023-06-05 02:30:00;3;photovoltaic_plate;power;0.0;kW
2023-06-05 02:15:00;2023-06-05 02:30:00;4;point_of_grid_delivery;power;284.0;kW
2023-06-05 02:15:00;2023-06-05 02:30:00;5;point_of_consumption;energy;71.0;kWh
2023-06-05 02:30:00;2023-06-05 02:45:00;1;battery;power;0.0;kW
2023-06-05 02:30:00;2023-06-05 02:45:00;1;battery;state_of_charge;100.0;%
2023-06-05 02:30:00;2023-06-05 02:45:00;2;battery;power;0.0;kW
2023-06-05 02:30:00;2023-06-05 02:45:00;2;battery;state_of_charge;100.0;%
2023-06-05 02:30:00;2023-06-05 02:45:00;3;photovoltaic_plate;power;0.0;kW
2023-06-05 02:30:00;2023-06-05 02:45:00;4;point_of_grid_delivery;power;284.0;kW
2023-06-05 02:30:00;2023-06-05 02:45:00;5;point_of_consumption;energy;71.0;kWh
2023-06-05 02:45:00;2023-06-05 03:00:00;1;battery;power;0.0;kW
2023-06-05 02:45:00;2023-06-05 03:00:00;1;battery;state_of_charge;100.0;%
2023-06-05 02:45:00;2023-06-05 03:00:00;2;battery;power;0.0;kW
2023-06-05 02:45:00;2023-06-05 03:00:00;2;battery;state_of_charge;100.0;%
2023-06-05 02:45:00;2023-06-05 03:00:00;3;photovoltaic_plate;power;0.0;kW
2023-06-05 02:45:00;2023-06-05 03:00:00;4;point_of_grid_delivery;power;284.0;kW
2023-06-05 02:45:00;2023-06-05 03:00:00;5;point_of_consumption;energy;71.0;kWh
2023-06-05 03:00:00;2023-06-05 03:15:00;1;battery;power;0.0;kW
2023-06-05 03:00:00;2023-06-05 03:15:00;1;battery;state_of_charge;100.0;%
2023-06-05 03:00:00;2023-06-05 03:15:00;2;battery;power;0.0;kW
2023-06-05 03:00:00;2023-06-05 03:15:00;2;battery;state_of_charge;100.0;%
2023-06-05 03:00:00;2023-06-05 03:15:00;3;photovoltaic_plate;power;0.0;kW
2023-06-05 03:00:00;2023-06-05 03:15:00;4;point_of_grid_delivery;power;268.0;kW
2023-06-05 03:00:00;2023-06-05 03:15:00;5;point_of_consumption;energy;67.0;kWh
2023-06-05 03:15:00;2023-06-05 03:30:00;1;battery;power;0.0;kW
2023-06-05 03:15:00;2023-06-05 03:30:00;1;battery;state_of_charge;100.0;%
2023-06-05 03:15:00;2023-06-05 03:30:00;2;battery;power;0.0;kW
2023-06-05 03:15:00;2023-06-05 03:30:00;2;battery;state_of_charge;100.0;%
2023-06-05 03:15:00;2023-06-05 03:30:00;3;photovoltaic_plate;power;0.0;kW
2023-06-05 03:15:00;2023-06-05 03:30:00;4;point_of_grid_delivery;power;268.0;kW
2023-06-05 03:15:00;2023-06-05 03:30:00;5;point_of_consumption;energy;67.0;kWh
2023-06-05 03:30:00;2023-06-05 03:45:00;1;battery;power;0.0;kW
2023-06-05 03:30:00;2023-06-05 03:45:00;1;battery;state_of_charge;100.0;%
2023-06-05 03:30:00;2023-06-05 03:45:00;2;battery;power;0.0;kW
2023-06-05 03:30:00;2023-06-05 03:45:00;2;battery;state_of_charge;100.0;%
2023-06-05 03:30:00;2023-06-05 03:45:00;3;photovoltaic_plate;power;0.0;kW
2023-06-05 03:30:00;2023-06-05 03:45:00;4;point_of_grid_delivery;power;268.0;kW
2023-06-05 03:30:00;2023-06-05 03:45:00;5;point_of_consumption;energy;67.0;kWh
2023-06-05 03:45:00;2023-06-05 04:00:00;1;battery;power;0.0;kW
2023-06-05 03:45:00;2023-06-05 04:00:00;1;battery;state_of_charge;100.0;%
2023-06-05 03:45:00;2023-06-05 04:00:00;2;battery;power;0.0;kW
2023-06-05 03:45:00;2023-06-05 04:00:00;2;battery;state_of_charge;100.0;%
2023-06-05 03:45:00;2023-06-05 04:00:00;3;photovoltaic_plate;power;0.0;kW
2023-06-05 03:45:00;2023-06-05 04:00:00;4;point_of_grid_delivery;power;268.0;kW
2023-06-05 03:45:00;2023-06-05 04:00:00;5;point_of_consumption;energy;67.0;kWh
2023-06-05 04:00:00;2023-06-05 04:15:00;1;battery;power;0.0;kW
2023-06-05 04:00:00;2023-06-05 04:15:00;1;battery;state_of_charge;100.0;%
2023-06-05 04:00:00;2023-06-05 04:15:00;2;battery;power;0.0;kW
2023-06-05 04:00:00;2023-06-05 04:15:00;2;battery;state_of_charge;100.0;%
2023-06-05 04:00:00;2023-06-05 04:15:00;3;photovoltaic_plate;power;0.0;kW
2023-06-05 04:00:00;2023-06-05 04:15:00;4;point_of_grid_delivery;power;276.0;kW
2023-06-05 04:00:00;2023-06-05 04:15:00;5;point_of_consumption;energy;69.0;kWh
2023-06-05 04:15:00;2023-06-05 04:30:00;1;battery;power;0.0;kW
2023-06-05 04:15:00;2023-06-05 04:30:00;1;battery;state_of_charge;100.0;%
2023-06-05 04:15:00;2023-06-05 04:30:00;2;battery;power;0.0;kW
2023-06-05 04:15:00;2023-06-05 04:30:00;2;battery;state_of_charge;100.0;%
2023-06-05 04:15:00;2023-06-05 04:30:00;3;photovoltaic_plate;power;0.0;kW
2023-06-05 04:15:00;2023-06-05 04:30:00;4;point_of_grid_delivery;power;276.0;kW
2023-06-05 04:15:00;2023-06-05 04:30:00;5;point_of_consumption;energy;69.0;kWh
2023-06-05 04:30:00;2023-06-05 04:45:00;1;battery;power;0.0;kW
2023-06-05 04:30:00;2023-06-05 04:45:00;1;battery;state_of_charge;100.0;%
2023-06-05 04:30:00;2023-06-05 04:45:00;2;battery;power;0.0;kW
2023-06-05 04:30:00;2023-06-05 04:45:00;2;battery;state_of_charge;100.0;%
2023-06-05 04:30:00;2023-06-05 04:45:00;3;photovoltaic_plate;power;0.0;kW
2023-06-05 04:30:00;2023-06-05 04:45:00;4;point_of_grid_delivery;power;276.0;kW
2023-06-05 04:30:00;2023-06-05 04:45:00;5;point_of_consumption;energy;69.0;kWh
2023-06-05 04:45:00;2023-06-05 05:00:00;1;battery;power;0.0;kW
2023-06-05 04:45:00;2023-06-05 05:00:00;1;battery;state_of_charge;100.0;%
2023-06-05 04:45:00;2023-06-05 05:00:00;2;battery;power;0.0;kW
2023-06-05 04:45:00;2023-06-05 05:00:00;2;battery;state_of_charge;100.0;%
2023-06-05 04:45:00;2023-06-05 05:00:00;3;photovoltaic_plate;power;0.0;kW
2023-06-05 04:45:00;2023-06-05 05:00:00;4;point_of_grid_delivery;power;276.0;kW
2023-06-05 04:45:00;2023-06-05 05:00:00;5;point_of_consumption;energy;69.0;kWh
2023-06-05 05:00:00;2023-06-05 05:15:00;1;battery;power;0.0;kW
2023-06-05 05:00:00;2023-06-05 05:15:00;1;battery;state_of_charge;100.0;%
2023-06-05 05:00:00;2023-06-05 05:15:00;2;battery;power;0.0;kW
2023-06-05 05:00:00;2023-06-05 05:15:00;2;battery;state_of_charge;100.0;%
2023-06-05 05:00:00;2023-06-05 05:15:00;3;photovoltaic_plate;power;0.0;kW
2023-06-05 05:00:00;2023-06-05 05:15:00;4;point_of_grid_delivery;power;256.0;kW
2023-06-05 05:00:00;2023-06-05 05:15:00;5;point_of_consumption;energy;64.0;kWh
2023-06-05 05:15:00;2023-06-05 05:30:00;1;battery;power;0.0;kW
2023-06-05 05:15:00;2023-06-05 05:30:00;1;battery;state_of_charge;100.0;%
2023-06-05 05:15:00;2023-06-05 05:30:00;2;battery;power;0.0;kW
2023-06-05 05:15:00;2023-06-05 05:30:00;2;battery;state_of_charge;100.0;%
